identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
00-030,00-0051,22.03.2021,Департамент міського господарства,30,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Раневичі,вул. Дрогобицька,-,49.34430,23.56308,липа,1,1,0,06.04.2021,2021,обрізання крони
00-030,00-0051,22.03.2021,Департамент міського господарства,30,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Раневичі,вул. Дрогобицька,-,49.34430,23.56298,липа,1,1,0,06.04.2021,2021,обрізання крони
00-030,00-0051,22.03.2021,Департамент міського господарства,30,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Раневичі,вул. Дрогобицька,-,49.34430,23.56291,липа,1,1,0,06.04.2021,2021,обрізання крони
00-030,00-0051,22.03.2021,Департамент міського господарства,30,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Раневичі,вул. Дрогобицька,-,49.34425,23.56291,липа,1,1,0,06.04.2021,2021,обрізання крони
00-030,00-0051,22.03.2021,Департамент міського господарства,30,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Раневичі,вул. Дрогобицька,-,49.34425,23.56321,липа,1,1,0,06.04.2021,2021,обрізання крони
00-030,00-0051,22.03.2021,Департамент міського господарства,30,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Раневичі,вул. Дрогобицька,-,49.34424,23.56290,липа,1,1,0,06.04.2021,2021,обрізання крони
00-031,00-0052,24.03.2021,Департамент міського господарства,31,24.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. П. Орлика.14,"біля кіоску ""Меденицькі джерела""",49.35235,23.51244,береза,1,1,0,29.03.2021,2021,обрізання крони
00-031,00-0053,24.03.2021,Департамент міського господарства,31,24.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. П. Орлика.14,"біля кіоску ""Меденицькі джерела""",49.35235,23.51244,горіх,1,1,0,29.03.2021,2021,обрізання крони
00-039,00-0068,26.03.2021,Департамент міського господарства,39,26.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. В. Великого.68,прибудинкова територія,49.35652,23.53682,груша,1,1,0,30.03.2021,2021,обрізання крони
00-043,00-0073,29.03.2021,Департамент міського господарства,43,29.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Самбірська. 90,прибудинкова територія,49.36264,23.49161,липа,1,1,0,05.04.2021,2021,обрізання крони
00-043,00-0073,29.03.2021,Департамент міського господарства,43,29.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Самбірська. 90,прибудинкова територія,49.36279,23.49161,липа,1,1,0,05.04.2021,2021,обрізання крони
00-045,00-0118,02.04.2021,Департамент міського господарства,45,02.04.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Сагайдачного 148,,49.35839,23.49636,береза,1,1,0,08.04.2021,2021,обрізання крони
00-045,00-0118,02.04.2021,Департамент міського господарства,45,02.04.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Сагайдачного 148,,49.35836,23.49623,граб,1,1,0,08.04.2021,2021,обрізання крони
00-049,00-0119,08.04.2021,Департамент міського господарства,49,08.04.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Кн.Ольги. 6,прибудинкова територія,49.3556,23.51553,груша,1,1,0,13.04.2021,2021,обрізання крони
