ідентифікатор,actIdentifier,виданий,customerName,номер доручення,orderDate,виконавець,ЄДРПОУ Виконавця,країна,область,місто,streetAddress,опис локації,latitude,longitude,itemSpecies,кількість,виконано,залишилось,дата виконання,рік виконання,статус
00-58-р,00-0041,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.В.Великого,56",,49.35546,23.53104,Вільха,1,1,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0042,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.Трускавецька,92",,49.33885,23.51003,горіх,1,1,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0043,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Сагайдачного,вздовж дороги,49.35783,23.50793,null,48,48,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0044,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Шептицького,вздовж дороги,49.36073,23.50368,null,18,18,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0045,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Грушевського101/1,,49.35470,23.53689,горіх,1,1,,8/10/2019,2019,Дозволено розпорядженням міського голови
,,,,19,2020-2-18,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Грушевського 105,від Грушевського 105 до площі злуки,49.35478,23.53969,клен,5,5,0,2-Nov,2020,
,,,,209,2020-10-26,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Вокзальна 7,,49.35358,23.54195,немає даних,17,17,0,3-Nov,2020,
,,,,225,2020-11-12,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Стрийська 28,,49.35121,23.51373,немає даних,2,2,0,18-Nov,2020,
,,,,144,2020-8-12,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Б. Хмельницького,Біля озера,49.33349,23.51058,немає даних,4,4,0,28-Aug,2020,
,,,,224,2020-11-9,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Гончарська 11,,49.35044,23.5051,каштан,6,6,0,12-Nov,2020,
,,,,12,2020-2-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Данила Галицького,,49.35035,23.50429,"клен, верба",2,2,0,30-Nov,2020,
,,,,229,2020-11-19,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Шашкевича 31/1,,49.34752,23.50301,ясен,1,1,0,25-Nov,2020,
,,,,223,2020-11-6,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. В. Великого 22,,49.35702,23.51528,липа,1,1,0,10-Nov,2020,
,,,,166,2020-9-11,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. Трускавецька,від вул. Холмської до в/ч,49.32456,23.51639,немає даних,,,,30-Sep,2020,
,,,,113,2020-7-6,"КП ""СМУ""",43032947,Україна,Львівська область,Дрогобич,вул. П. Орлика 14,,49.35558,23.51297,немає даних,11,11,0,14-Jul,2020,
,,,,33,2020-3-18,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Тураша 28-32,,49.36468,23.55335,липа,3,3,0,30-Mar,2020,
,,,,10,2020-1-28,"КП ""КМГ""",32300054,Україна,Львівська область,Дрогобич,вул. В. Великого 2,,49.35750,23.51132,немає даних,4,4,0,10-Feb,2020,
,,,,197,2020-10-16,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Грушевського 95/2,,49.35471,23.53376,липа,2,2,0,22-Oct,2020,
,,,,199,2020-10-19,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. 22 Січня 48,,49.36144,23.51066,горіх,1,1,0,31-Oct,2020,
,,,,207,2020-10-23,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Гончара 6,,49.35821,23.52903,горіх,1,1,0,27-Oct,2020,
,,,,179,2020-10-1,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Грушевського 74,,49.35354,23.53204,"липа, акація",3,3,0,10-Oct,2020,
,,,,161,2020-9-8,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. В. Великого 66,,49.35585,23.53349,"верба, липа",3,3,0,6-Oct,2020,
,,,,15,2020-2-10,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Чапельського 1,навпроти швейної фабрики,49.35518,23.53669,немає даних,,,,20-Feb,2020,
,,,,1,2020-1-10,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Зварицька ,біля ЗОШ №5,49.35286,23.49022,тополя,1,1,0,26-Feb,2020,
,,,,213,2020-10-29,"КП ""Управитель ЖЕО""",20790524,Україна,Львівська область,Дрогобич,вул. Січових Стрільців 28,,49.35291,23.49795,береза,1,1,0,5-Nov,2020,
